r,GW_Speed_Standard,GW_Speed_HyperTwist,Ratio
0.1,1,1.0970033593726833,1.0970033593726833
0.2,1,1.0741101858525126,1.0741101858525126
0.30000000000000004,1,1.0328502944199986,1.0328502944199986
0.4,1,1.0101956622182982,1.0101956622182982
0.5,1,1.0030862564725889,1.0030862564725889
0.6000000000000001,1,1.0010112581452515,1.0010112581452515
0.7000000000000001,1,1.0003618189852934,1.0003618189852934
0.8,1,1.0001399516024028,1.0001399516024028
0.9,1,1.000057870426229,1.000057870426229
1,1,1.0000253410470024,1.0000253410470024
1.1,1,1.0000116621684665,1.0000116621684665
1.2000000000000002,1,1.0000056061177356,1.0000056061177356
1.3,1,1.000002800956392,1.000002800956392
1.4000000000000001,1,1.0000014485058166,1.0000014485058166
1.5,1,1.000000772685302,1.000000772685302
1.6,1,1.0000004239164122,1.0000004239164122
1.7000000000000002,1,1.0000002385950701,1.0000002385950701
1.8,1,1.000000137468126,1.000000137468126
1.9000000000000001,1,1.0000000809241616,1.0000000809241616
2,1,1.0000000485921934,1.0000000485921934
2.1,1,1.0000000297185239,1.0000000297185239
2.2,1,1.000000018488075,1.000000018488075
2.3000000000000003,1,1.0000000116856176,1.0000000116856176
2.4000000000000004,1,1.0000000074963677,1.0000000074963677
2.5,1,1.0000000048761601,1.0000000048761601
2.6,1,1.0000000032133691,1.0000000032133691
2.7,1,1.0000000021436835,1.0000000021436835
2.8000000000000003,1,1.0000000014466717,1.0000000014466717
2.9000000000000004,1,1.0000000009869765,1.0000000009869765
3,1,1.0000000006803198,1.0000000006803198
3.1,1,1.000000000473534,1.000000000473534
3.2,1,1.000000000332662,1.000000000332662
3.3000000000000003,1,1.000000000235758,1.000000000235758
3.4000000000000004,1,1.0000000001684823,1.0000000001684823
3.5,1,1.0000000001213651,1.0000000001213651
3.6,1,1.0000000000880895,1.0000000000880895
3.7,1,1.0000000000644012,1.0000000000644012
3.8000000000000003,1,1.0000000000474094,1.0000000000474094
3.9000000000000004,1,1.0000000000351323,1.0000000000351323
4,1,1.0000000000261997,1.0000000000261997
4.1000000000000005,1,1.000000000019657,1.000000000019657
4.2,1,1.0000000000148344,1.0000000000148344
4.3,1,1.0000000000112574,1.0000000000112574
4.4,1,1.0000000000085891,1.0000000000085891
4.5,1,1.000000000006587,1.000000000006587
4.6000000000000005,1,1.0000000000050768,1.0000000000050768
4.7,1,1.0000000000039315,1.0000000000039315
4.800000000000001,1,1.0000000000030587,1.0000000000030587
4.9,1,1.0000000000023903,1.0000000000023903
5,1,1.000000000001876,1.000000000001876
5.1000000000000005,1,1.0000000000014784,1.0000000000014784
5.2,1,1.0000000000011697,1.0000000000011697
5.300000000000001,1,1.0000000000009293,1.0000000000009293
5.4,1,1.0000000000007407,1.0000000000007407
5.5,1,1.0000000000005929,1.0000000000005929
5.6000000000000005,1,1.000000000000476,1.000000000000476
5.7,1,1.0000000000003835,1.0000000000003835
5.800000000000001,1,1.00000000000031,1.00000000000031
5.9,1,1.0000000000002514,1.0000000000002514
6,1,1.0000000000002045,1.0000000000002045
6.1000000000000005,1,1.000000000000167,1.000000000000167
6.2,1,1.0000000000001366,1.0000000000001366
6.300000000000001,1,1.0000000000001121,1.0000000000001121
6.4,1,1.0000000000000921,1.0000000000000921
6.5,1,1.0000000000000762,1.0000000000000762
6.6000000000000005,1,1.000000000000063,1.000000000000063
6.7,1,1.0000000000000522,1.0000000000000522
6.800000000000001,1,1.0000000000000435,1.0000000000000435
6.9,1,1.0000000000000362,1.0000000000000362
7,1,1.0000000000000302,1.0000000000000302
7.1000000000000005,1,1.0000000000000253,1.0000000000000253
7.2,1,1.0000000000000213,1.0000000000000213
7.300000000000001,1,1.0000000000000178,1.0000000000000178
7.4,1,1.000000000000015,1.000000000000015
7.5,1,1.0000000000000127,1.0000000000000127
7.6000000000000005,1,1.0000000000000107,1.0000000000000107
7.7,1,1.000000000000009,1.000000000000009
7.800000000000001,1,1.0000000000000078,1.0000000000000078
7.9,1,1.0000000000000067,1.0000000000000067
8,1,1.0000000000000056,1.0000000000000056
8.1,1,1.0000000000000049,1.0000000000000049
8.200000000000001,1,1.0000000000000042,1.0000000000000042
8.3,1,1.0000000000000036,1.0000000000000036
8.4,1,1.000000000000003,1.000000000000003
8.5,1,1.0000000000000027,1.0000000000000027
8.6,1,1.0000000000000022,1.0000000000000022
8.700000000000001,1,1.000000000000002,1.000000000000002
8.8,1,1.0000000000000018,1.0000000000000018
8.9,1,1.0000000000000016,1.0000000000000016
9,1,1.0000000000000013,1.0000000000000013
9.1,1,1.000000000000001,1.000000000000001
9.200000000000001,1,1.0000000000000009,1.0000000000000009
9.3,1,1.0000000000000009,1.0000000000000009
9.4,1,1.0000000000000007,1.0000000000000007
9.5,1,1.0000000000000007,1.0000000000000007
9.600000000000001,1,1.0000000000000004,1.0000000000000004
9.700000000000001,1,1.0000000000000004,1.0000000000000004
9.8,1,1.0000000000000004,1.0000000000000004
9.9,1,1.0000000000000004,1.0000000000000004
10,1,1.0000000000000002,1.0000000000000002
